rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.933274952740263	-0.304548570522445	-0.411750770822433	-0.272495358738925	-0.117238322818352	-0.195134117115394	0.0157621579572808
std.error	0.143893989027998	0.0299973041672138	0.0483171898631789	0.0446042793098984	0.0388415271860729	0.0293986265130139	0.00599947046318055
t-value	-6.48585086176653	-10.152531334976	-8.52182777989364	-6.10917523957066	-3.01837572597788	-6.63752495474623	2.6272581978718
p-value	7.17795019749316e-08	8.71066444799295e-18	1.65681440016404e-11	2.58278275719376e-08	0.00426065838709375	8.01265734228901e-09	0.00961092460655486
Spatial distance (x1000)	5.05817349120659e-05	-1.52855484684266e-05	3.61746256219272e-05	5.531497074891e-05	-0.000147127562586239	-0.000103832887474132	-0.000155623512123369
std.error	0.00014961815904121	3.90108206388621e-05	6.23775102483675e-05	5.213955671047e-05	5.82802144340816e-05	4.59146383129378e-05	7.80173653678487e-06
t-value	0.338072164743946	-0.391828426526339	0.5799305787918	1.06090220628597	-2.52448560827875	-2.26143320059376	-19.9472913997557
p-value	0.736953877715072	0.695891727459183	0.564418802121559	0.291604856924101	0.0153584328964288	0.0271383954352699	6.09893303395353e-42
Pseudo-R2	0.002473449	0.001305421	0.006277847	0.012153780	0.132622818	0.074997283	0.758725306
AIC	 -17.77477	-163.51575	 -70.72159	 -61.17128	 -68.93988	-123.81681	-537.41764
