rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.908626741114858	-0.315866411652742	-0.373158379340977	-0.267008408758163	-0.140340516346502	-0.204774055093	-0.00831400542347729
std.error	0.116445652884584	0.0228237206336646	0.0394922857187324	0.0400091990655426	0.0332570470315668	0.0241375502096842	0.00644845867169373
t-value	-7.80301126410835	-13.839391776766	-9.44889293060028	-6.67367542951191	-4.21987304565237	-8.48363041460779	-1.28930118758031
p-value	9.02876503709238e-10	1.80629507986626e-26	5.87822171635101e-13	2.05985361056894e-09	0.000123879220495704	4.53943385614422e-12	0.199514483260657
Climatic distance	0.00453360494936067	0.00039415781563757	-0.00470880678157136	0.00808818633279563	-0.0145889050783452	-0.0136180828853403	-0.0207235359401692
std.error	0.02430599401885	0.00613591404342665	0.0100791248711547	0.00756506368563669	0.00627934365632156	0.0055076617416255	0.00136827541327291
t-value	0.186522095983596	0.0642378320243628	-0.467184090063954	1.06914980083408	-2.32331687463198	-2.47257067049313	-15.145734359575
p-value	0.852912571764892	0.948889550316772	0.642283245421316	0.287893368205561	0.0249588859482822	0.0160821348426311	8.06120587784931e-31
Pseudo-R2	7.600998e-04	3.500262e-05	4.146520e-03	1.239199e-02	1.150766e-01	8.981085e-02	6.442677e-01
AIC	 -17.69755	-163.36319	 -70.60376	 -61.19323	 -68.03866	-124.88233	-484.61668
