rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.928015138871858	-0.269213192694861	-0.376097382772499	-0.250005616668762	-0.126197544847996	-0.189785578067099	-0.0175955196308868
std.error	0.128874497074507	0.0270198358218907	0.0402020664763259	0.0475892758586645	0.0398185256782983	0.0324686358155341	0.00873028645292231
t-value	-7.20092151618905	-9.96353917431104	-9.35517538617013	-5.25340241383908	-3.16931736417291	-5.84519716643897	-2.015457307818
p-value	2.48986751312507e-08	1.21793548198672e-14	8.20757182721811e-13	1.82343128158463e-06	0.00322614240647726	6.13821468203851e-07	0.0480602837348924
Climatic distance	0.0243535890813361	-0.00351208126312101	-0.00370604332390826	0.00212264193887817	-0.0143406118695106	-0.0133804927338585	-0.0184139620417204
std.error	0.0279332674768986	0.00712088409973036	0.0101641322792429	0.00943019180643415	0.00701640591634828	0.00681853786164822	0.00189854892333056
t-value	0.871848919983209	-0.493208597968053	-0.364619745403815	0.22509000691056	-2.04386861884613	-1.96236979325419	-9.6989663081304
p-value	0.389406017086106	0.623553352326108	0.716846122739315	0.822626424528269	0.048775078601779	0.0562113462916603	3.4678769051079e-14
Pseudo-R2	0.0197077466	0.0039209048	0.0025373857	0.0007930797	0.1116728809	0.0847801617	0.6089123784
AIC	 -10.06694	-101.88647	 -70.51496	 -44.40287	 -51.08523	 -76.26203	-239.93388
