rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-1.05800070406022	-0.138291544322574	-0.574598649862725	-0.309723868812908	0.271707054851403	0.126647029197067	0.460558219794617
std.error	0.821305731036137	0.182988483644295	0.25434907579231	0.275048433785198	0.237637361294491	0.200497635754471	0.0478795705371683
t-value	-1.28819349978902	-0.755739058373716	-2.25909470310762	-1.12607028715092	1.14336842225197	0.631663454386856	9.61909671760927
p-value	0.20637675480093	0.452578278299691	0.0280154997014132	0.26434064838221	0.260872565806975	0.530950793255217	4.76182324855648e-14
Spatial distance (x1000)	0.0330132207988053	-0.022136973625338	0.02949898765862	0.0107499208407763	-0.0744346140882406	-0.0592361078193969	-0.0865183334929339
std.error	0.126038525963667	0.0286272398566214	0.0398908517167727	0.0428653194252094	0.0378715214746116	0.0320800419431538	0.00754767678550547
t-value	0.261929600861263	-0.773283548683362	0.73949255002286	0.250783640129699	-1.96545085040062	-1.84650967490517	-11.4629091774416
p-value	0.794956115925288	0.442201405916271	0.462870854071533	0.802784780358569	0.0575733336782143	0.0717082047296622	3.70223930636087e-17
Pseudo-R2	0.0018409930	0.0091969396	0.0102021816	0.0009892802	0.1032365478	0.0732614856	0.6760618103
AIC	  -9.416717	-102.236984	 -70.939225	 -44.415828	 -50.744956	 -75.699203	-252.366888
