rn	Oligocene	Miocene	Pliocene	Pleistocene	LastGlacial	Holocene	Present
Intercept	-0.862129370715423	-0.315182757977241	-0.371653089536329	-0.229898344066485	-0.164318174589065	-0.226369681383608	-0.0459219629837052
std.error	0.077859299306422	0.0150795460649544	0.0310972562124611	0.0295941626667367	0.029734057488663	0.0184471025129053	0.00686946514126899
t-value	-11.0729145830409	-20.9013425616133	-11.9513145146035	-7.76836792631701	-5.52626141426263	-12.2712865733382	-6.68494009931348
p-value	3.57997539891457e-14	1.7781189134959e-41	1.15260032643651e-16	1.29436173575544e-11	1.77901669591218e-06	1.81101458407464e-18	5.68833422974194e-10
Climatic distance	-0.0370889752034091	0.00243132539018161	-0.0208354400275675	-0.00237797520588721	-0.0360006218034615	-0.0309707888438011	-0.043829908092948
std.error	0.0522256564431852	0.00452951638079065	0.0258237904781824	0.0184623230240795	0.0198700935553579	0.0132413927440297	0.00476684375664639
t-value	-0.710167716967945	0.536773727211295	-0.806831206486539	-0.128801516623111	-1.81179931051477	-2.33893740956858	-9.19474401312947
p-value	0.481434035290163	0.592434542879309	0.423369678694178	0.897805327447708	0.0770048251538998	0.0224731906614236	6.39572009292873e-16
Pseudo-R2	0.0099344148	0.0025213617	0.0116432786	0.0001665019	0.0718571699	0.0764739598	0.3847728501
AIC	 -18.11262	-163.66194	 -71.01936	 -60.07367	 -65.89286	-123.92226	-410.11410
